business_name,business_category,business_city_region,price_range,overall_rating,total_reviews,reviewer,rating,date,text,review_count
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,10:30 AM - 10:00 PM,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,10:30 AM - 10:00 PM,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,10:30 AM - 10:00 PM,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,10:30 AM - 10:00 PM,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,10:30 AM - 10:00 PM,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,10:30 AM - 10:00 PM,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,10:30 AM - 10:00 PM,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Tom E.,5.0,"Apr 1, 2024","First off, a moment of silence for the now departed Chick'nCone that used to be in this spot.... Respects having been paid, on to the review. Indian Pizza? Yes, please! They also have Tacos, Burritos, Bowls and 'Burgers'. I don't think any of the burgers have actual beef patties, though 'ground beef' is listed as a pizza topping. Most (or all) of the non-pizza offerings are from the 'Taco Twist' side of the operation. Fresh, modern decor. Nice vinyl wall mural. Fast and friendly service. If you order a pizza, it will take a bit, especially if there are a bunch of pizza orders ahead of you. I'm not sure what they're using for an oven. I suspect it's a roller style electric. So, 10-15 minutes vs the 20-30 you'd expect from a fancy oven on a made to order pie at a place that is not Fast Casual. The five stars are provisional. I've only had one Chicken Curry pizza. I may change my mind as I eat my way through the menu. Or not. It's hard to say. I suspect there are better Chicken Curry pizzas to be had somewhere, but this is probably the only game in town. The prices are a bit premium, also. Again, though, if you've got the only Maharaja Burger in town...",10
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Jennifer M.,4.0,"Jul 21, 2025","Ordered a Pizza due to them being on the Pizza Passport for the first time this year, plus I could carry out and take back to my office for my coworkers to try!!! My pizza was Hot and ready for pick up!!! I chose the Chicken Delight which was a hit with the office! They have all sorts of Indian inspired pizza/tacos etc. Give them a try!",18
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Jonathan C.,4.0,"Jul 10, 2025","The Indian pizzas have been a nice surprise. We wanted something quick but not too pricey in the CWE, and this was a good spot. We had the paneer tikka and tandoori chicken pizzas. They were well spiced and very flavorful. Crust was very good, could be better. We had it for takeout and it was warm out of the oven.",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Rochelle T.,2.0,"Aug 29, 2025",We did not receive our cheese pizza. The other pizzas had a very unusual seasoning to it and we didn't care for it at all. Overall we had 5 in our group and none of us liked the flavors.,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Tayluh' B.,1.0,"Jul 18, 2025","This place might as well shut down..they removed the rice from the chicken Marsala taco, the chicken in the taco was very small no larger than a pinky in width ...I ordered the mojo steak and it was litterally a SLIVER of meat and a mound of white sauce...seems like they are trying to save money removing items. I won't be back",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Mary C.,3.0,"Mar 20, 2025","Pizza Twist is a fusion pizza kitchen chain serving things like palak paneer ""pizzatwist"" pasta and butter chicken naan pizza! This is the first and only location in Saint Louis (other branches in DC, etc). A lot of coworkers love this place so we decided to order carry out with our friend who was visiting from out of town. The pizzas were super pretty/aesthetic pizzas with fresh cilantro garnish and could be made halal or gluten free. We got thin crust versions of the chicken tikka pizza, 3 idiots (different types of chicken), and tandoori paneer pizza. They have lots of options with a giant menu where you can choose deep dish or thin crust. We ordered takeout but the interior seems very clean from when I've walked by in CWE! I thought the pizza was about average (crust was a little thicker and softer than I would have liked for thin crust--would have preferred more crispy) but with interesting flavors. Chicken tikka was spicy. The paneer one was ok. The 3 idiots was my favorite. My rating: 3/5 for taste, fiancé's 4/5, our friend loved it though!",4
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Natalya R.,5.0,"Dec 24, 2024","Everything you want to order from this place is filled with different flavors and delicious! This place is a must-visit if you're hunting for a culinary adventure that tantalizes the taste buds! Each dish bursts with vibrant flavors that come together in perfect harmony. Whether you're in the mood for a cozy meal or a comforting treat, I wholeheartedly recommend this gem to satisfy all your comfort food cravings. You won't be disappointed! I highly recommend this place for all your comfy food cravings.",14
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Benetta H.,4.0,"Nov 13, 2024",Love how this place was open until 10:00pm on a weeknight! Tried the chicken tikka masala pizza during St. Louis Pizza Week 2024. Very tasty hand tossed pizza.,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Renee J.,4.0,"Oct 18, 2024",Ordered delivery with co-workers. BBQ chicken pizza 2 topping pizza beef and jalapeño Chicken Alfredo Pasta Both the pizza and pasta were good.,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Cindy A.,5.0,"Oct 15, 2024",Don't let the interior throw you off. This pizza was delicious. It was very cheesy with a great crust. I highly recommend,3
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,Things to do in St Louis,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Restaurants near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Desserts near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Coffee near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Things to Do near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Parking near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Cocktail Bars near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Breakfast near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Dinner near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Movie Theatre near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,"BEST of St Louis, MO Shopping near Pizza Twist",
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,Find more Chicken Wings near Pizza Twist,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,Find more Pizza Places near Pizza Twist,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,Find more Salad Places near Pizza Twist,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
Pizza Twist,,"15 N Euclid Ave St Louis, MO 63108",$,4.0,,Anonymous,,,,
